All_Cores, Core 0, Core 1, Core 2, Core 3
9.5, 23, 8, 7, 0
6.5, 6, 0, 13, 7
3.5, 0, 0, 7, 7
8.5, 0, 14, 7, 13
8.25, 0, 13, 13, 7
6.5, 0, 13, 13, 0
16.0, 18, 7, 13, 26
24.5, 47, 8, 15, 28
10.0, 20, 6, 7, 7
9.5, 13, 18, 7, 0
10.75, 7, 17, 13, 6
13.5, 13, 20, 7, 14
5.0, 0, 7, 0, 13
3.75, 0, 8, 7, 0
8.25, 0, 14, 13, 6
5.25, 0, 0, 14, 7
10.0, 6, 13, 7, 14
13.25, 6, 13, 20, 14
17.75, 16, 25, 7, 23
18.0, 16, 21, 35, 0
6.75, 13, 7, 0, 7
9.75, 20, 13, 0, 6
3.5, 0, 7, 7, 0
9.75, 14, 6, 13, 6
9.5, 0, 18, 20, 0
5.0, 7, 13, 0, 0
8.5, 0, 7, 13, 14
6.75, 6, 0, 14, 7
6.75, 0, 14, 0, 13
12.75, 0, 17, 14, 20
26.75, 26, 35, 21, 25
16.5, 21, 15, 15, 15
8.25, 13, 0, 20, 0
9.75, 13, 14, 12, 0
6.75, 0, 14, 6, 7
8.5, 12, 15, 0, 7
6.5, 6, 13, 7, 0
11.75, 7, 20, 7, 13
8.5, 20, 0, 0, 14
6.5, 7, 13, 6, 0
12.0, 0, 18, 17, 13
3.5, 7, 0, 0, 7
23.5, 26, 15, 20, 33
23.5, 21, 21, 21, 31
8.5, 7, 14, 0, 13
7.75, 7, 6, 0, 18
10.0, 6, 14, 7, 13
8.25, 0, 20, 6, 7
8.0, 6, 13, 6, 7
6.25, 0, 6, 13, 6
10.0, 7, 0, 20, 13
8.5, 14, 7, 6, 7
8.0, 13, 6, 0, 13
9.75, 13, 13, 0, 13
23.5, 50, 21, 0, 23
10.5, 7, 21, 0, 14
10.0, 6, 7, 21, 6
8.25, 13, 13, 0, 7
10.0, 20, 13, 0, 7
10.75, 12, 0, 17, 14
7.75, 13, 0, 0, 18
13.25, 20, 14, 6, 13
6.5, 6, 6, 0, 14
6.75, 14, 0, 7, 6
10.75, 7, 0, 14, 22
8.25, 6, 14, 13, 0
14.75, 0, 25, 26, 8
11.5, 16, 15, 15, 0
6.5, 0, 20, 6, 0
9.75, 13, 13, 0, 13
6.75, 0, 13, 7, 7
11.25, 6, 7, 14, 18
8.75, 14, 0, 7, 14
6.75, 0, 7, 14, 6
8.25, 6, 12, 15, 0
6.75, 20, 0, 7, 0
8.5, 7, 0, 14, 13
9.5, 0, 20, 18, 0
19.0, 18, 13, 17, 28
20.75, 28, 18, 28, 9
6.25, 0, 0, 12, 13
10.25, 20, 7, 7, 7
8.25, 14, 13, 0, 6
11.5, 20, 13, 0, 13
10.0, 7, 13, 6, 14
5.0, 0, 0, 7, 13
13.25, 14, 20, 6, 13
8.5, 7, 14, 0, 13
3.25, 0, 0, 7, 6
8.25, 14, 6, 6, 7
17.5, 7, 6, 26, 31
31.5, 30, 44, 15, 37
5.0, 6, 7, 7, 0
6.5, 7, 0, 12, 7
8.75, 14, 7, 14, 0
9.5, 20, 18, 0, 0
9.25, 6, 6, 25, 0
6.75, 6, 0, 7, 14
11.75, 7, 20, 7, 13
7.75, 6, 13, 6, 6
6.5, 0, 7, 6, 13
7.0, 14, 7, 0, 7
15.75, 7, 18, 15, 23
14.25, 26, 7, 15, 9
8.0, 13, 0, 13, 6
10.0, 13, 0, 15, 12
9.5, 0, 18, 13, 7
10.25, 6, 14, 14, 7
6.75, 14, 0, 6, 7
6.25, 6, 0, 13, 6
8.0, 0, 13, 6, 13
9.75, 13, 0, 6, 20
8.25, 14, 6, 6, 7
11.5, 20, 13, 0, 13
29.75, 35, 18, 29, 37
10.25, 7, 0, 13, 21
8.0, 0, 13, 13, 6
10.0, 0, 20, 0, 20
7.25, 15, 14, 0, 0
8.5, 0, 20, 0, 14
8.25, 0, 14, 13, 6
10.0, 20, 20, 0, 0
7.0, 8, 20, 0, 0
10.0, 0, 20, 20, 0
6.75, 7, 7, 7, 6
8.25, 20, 0, 0, 13
20.25, 21, 21, 33, 6
28.75, 26, 40, 28, 21
7.75, 13, 6, 6, 6
8.25, 7, 7, 7, 12
4.75, 7, 6, 0, 6
7.0, 0, 14, 14, 0
8.5, 7, 14, 6, 7
7.5, 0, 6, 12, 12
6.5, 13, 6, 0, 7
8.5, 0, 20, 0, 14
9.75, 13, 0, 20, 6
7.75, 0, 0, 13, 18
28.0, 33, 29, 37, 13
16.0, 36, 7, 14, 7
3.5, 0, 0, 7, 7
6.25, 7, 18, 0, 0
8.75, 14, 0, 14, 7
5.0, 0, 7, 7, 6
8.5, 7, 14, 0, 13
8.5, 0, 13, 14, 7
9.75, 14, 12, 13, 0
11.25, 7, 17, 14, 7
10.5, 0, 20, 15, 7
6.25, 12, 0, 13, 0
21.0, 26, 14, 26, 18
11.0, 15, 0, 15, 14
