All_Cores, Core 0, Core 1, Core 2, Core 3
14.75, 25, 7, 14, 13
12.25, 7, 14, 8, 20
11.25, 13, 14, 6, 12
9.5, 6, 13, 6, 13
6.75, 7, 13, 0, 7
9.0, 7, 15, 7, 7
6.75, 0, 20, 0, 7
8.25, 7, 6, 0, 20
11.5, 13, 6, 20, 7
12.0, 14, 20, 7, 7
13.5, 7, 23, 12, 12
7.75, 7, 0, 6, 18
11.0, 0, 18, 13, 13
33.75, 41, 28, 43, 23
8.25, 6, 0, 20, 7
9.75, 7, 26, 6, 0
8.25, 13, 20, 0, 0
6.75, 13, 0, 0, 14
6.75, 0, 7, 20, 0
10.5, 21, 0, 7, 14
7.0, 21, 7, 0, 0
8.75, 0, 14, 14, 7
3.5, 7, 0, 0, 7
12.75, 26, 13, 6, 6
11.5, 13, 7, 20, 6
12.5, 15, 14, 14, 7
26.0, 26, 20, 33, 25
8.0, 0, 11, 7, 14
8.0, 12, 6, 7, 7
8.5, 13, 14, 0, 7
10.5, 0, 23, 6, 13
10.5, 22, 0, 13, 7
6.5, 13, 0, 7, 6
8.5, 6, 8, 13, 7
9.75, 7, 14, 12, 6
10.25, 0, 21, 7, 13
8.25, 14, 0, 13, 6
16.25, 13, 25, 13, 14
20.75, 15, 26, 21, 21
22.75, 20, 15, 23, 33
10.25, 0, 14, 14, 13
6.75, 0, 14, 13, 0
13.0, 25, 7, 13, 7
3.25, 6, 7, 0, 0
8.0, 6, 6, 13, 7
11.25, 6, 12, 13, 14
9.25, 12, 13, 6, 6
6.75, 13, 14, 0, 0
8.25, 14, 0, 6, 13
14.5, 20, 6, 25, 7
19.25, 16, 21, 26, 14
17.75, 25, 12, 20, 14
12.0, 20, 7, 14, 7
10.0, 0, 14, 13, 13
6.5, 6, 7, 0, 13
11.5, 20, 0, 6, 20
6.75, 0, 13, 0, 14
6.75, 6, 14, 0, 7
10.75, 8, 17, 6, 12
10.25, 14, 13, 7, 7
9.5, 12, 6, 6, 14
27.0, 21, 33, 33, 21
15.25, 14, 7, 20, 20
8.25, 7, 13, 7, 6
8.5, 20, 7, 7, 0
8.5, 14, 6, 7, 7
9.25, 13, 6, 0, 18
8.25, 6, 6, 14, 7
10.0, 13, 0, 14, 13
11.75, 0, 20, 13, 14
11.5, 6, 20, 7, 13
10.25, 14, 0, 14, 13
11.5, 14, 0, 18, 14
15.5, 25, 16, 14, 7
19.25, 37, 20, 20, 0
9.0, 0, 15, 21, 0
8.25, 0, 13, 6, 14
5.0, 7, 0, 7, 6
10.0, 20, 7, 7, 6
6.25, 0, 0, 7, 18
8.0, 6, 13, 7, 6
6.75, 0, 13, 7, 7
9.0, 0, 18, 0, 18
8.5, 13, 14, 7, 0
8.25, 13, 13, 7, 0
8.5, 13, 0, 7, 14
29.0, 35, 14, 25, 42
9.75, 0, 14, 0, 25
10.0, 14, 20, 6, 0
13.0, 13, 13, 13, 13
11.0, 18, 6, 0, 20
9.5, 6, 7, 12, 13
10.25, 20, 14, 0, 7
8.25, 0, 13, 0, 20
6.0, 12, 6, 0, 6
8.5, 13, 7, 14, 0
8.25, 13, 14, 6, 0
22.0, 28, 20, 15, 25
16.25, 16, 21, 0, 28
9.75, 13, 12, 7, 7
11.5, 18, 14, 7, 7
11.5, 12, 14, 13, 7
3.75, 0, 7, 0, 8
9.5, 18, 7, 7, 6
6.5, 13, 7, 6, 0
6.5, 20, 6, 0, 0
7.0, 7, 0, 7, 14
6.25, 0, 0, 12, 13
9.75, 20, 7, 6, 6
11.75, 0, 14, 20, 13
10.75, 14, 7, 7, 15
12.0, 0, 7, 26, 15
8.0, 0, 20, 6, 6
8.5, 20, 14, 0, 0
8.5, 7, 0, 14, 13
11.5, 26, 13, 7, 0
7.75, 6, 12, 13, 0
8.75, 22, 6, 0, 7
7.75, 6, 13, 0, 12
7.0, 7, 7, 14, 0
9.75, 13, 6, 13, 7
13.0, 23, 7, 15, 7
11.0, 23, 14, 7, 0
9.5, 0, 0, 20, 18
12.5, 18, 6, 6, 20
5.0, 0, 13, 7, 0
7.0, 7, 14, 0, 7
8.0, 0, 14, 6, 12
10.0, 0, 14, 20, 6
8.0, 0, 6, 12, 14
10.25, 0, 7, 20, 14
5.75, 7, 9, 0, 7
10.25, 0, 14, 20, 7
10.5, 0, 8, 21, 13
28.25, 21, 31, 26, 35
5.25, 7, 0, 7, 7
12.75, 0, 25, 13, 13
5.25, 0, 14, 7, 0
7.5, 0, 18, 12, 0
10.0, 14, 6, 20, 0
7.0, 7, 14, 7, 0
9.5, 0, 18, 20, 0
5.0, 0, 6, 7, 7
11.5, 0, 20, 20, 6
9.0, 0, 18, 12, 6
10.0, 7, 20, 0, 13
30.5, 23, 38, 21, 40
15.25, 14, 14, 20, 13
5.0, 0, 13, 0, 7
11.25, 18, 20, 0, 7
6.75, 13, 14, 0, 0
6.25, 0, 0, 18, 7
8.75, 21, 0, 0, 14
11.25, 6, 12, 13, 14
11.0, 18, 6, 13, 7
7.0, 0, 0, 14, 14
8.0, 13, 12, 0, 7
9.75, 0, 14, 0, 25
29.75, 30, 33, 21, 35
7.0, 15, 7, 6, 0
13.25, 13, 14, 13, 13
4.75, 6, 7, 6, 0
9.75, 0, 13, 20, 6
7.0, 0, 7, 21, 0
4.75, 13, 6, 0, 0
11.25, 20, 13, 6, 6
9.75, 7, 13, 13, 6
10.0, 20, 6, 7, 7
11.5, 14, 14, 12, 6
13.0, 0, 14, 7, 31
12.0, 26, 15, 0, 7
10.25, 6, 14, 21, 0
11.5, 7, 13, 20, 6
7.75, 13, 6, 12, 0
8.25, 7, 6, 20, 0
8.5, 0, 14, 20, 0
8.25, 6, 14, 13, 0
10.0, 7, 7, 13, 13
9.75, 13, 6, 7, 13
11.0, 13, 6, 12, 13
12.75, 20, 25, 0, 6
7.75, 7, 0, 6, 18
21.0, 26, 28, 15, 15
9.5, 0, 13, 18, 7
8.0, 13, 6, 13, 0
1.75, 7, 0, 0, 0
11.5, 20, 0, 13, 13
10.5, 14, 0, 14, 14
9.75, 25, 0, 7, 7
8.25, 14, 0, 6, 13
5.25, 0, 7, 7, 7
8.5, 21, 0, 6, 7
8.5, 0, 20, 0, 14
9.75, 6, 13, 20, 0
25.0, 28, 28, 28, 16
10.0, 7, 12, 7, 14
13.25, 20, 13, 7, 13
8.25, 7, 13, 13, 0
7.25, 15, 7, 7, 0
13.25, 12, 13, 14, 14
11.0, 7, 6, 25, 6
8.5, 15, 0, 6, 13
10.0, 14, 13, 7, 6
5.25, 7, 0, 14, 0
6.25, 13, 6, 6, 0
15.0, 20, 20, 7, 13
26.0, 13, 23, 37, 31
5.0, 7, 7, 0, 6
8.5, 0, 13, 14, 7
9.5, 0, 14, 6, 18
6.5, 13, 0, 0, 13
8.75, 6, 14, 7, 8
10.25, 20, 14, 0, 7
3.5, 0, 0, 14, 0
9.25, 6, 18, 0, 13
6.75, 14, 0, 7, 6
10.0, 7, 12, 7, 14
15.0, 14, 7, 14, 25
11.0, 15, 14, 7, 8
7.5, 12, 6, 12, 0
10.75, 6, 17, 13, 7
8.25, 7, 12, 7, 7
10.0, 14, 7, 13, 6
6.5, 13, 6, 0, 7
8.5, 7, 20, 7, 0
10.75, 13, 23, 0, 7
8.25, 13, 7, 13, 0
9.75, 20, 0, 13, 6
5.25, 0, 7, 7, 7
16.0, 20, 23, 0, 21
7.0, 14, 0, 7, 7
22.0, 28, 7, 20, 33
6.75, 0, 14, 13, 0
11.5, 18, 7, 7, 14
7.75, 0, 17, 7, 7
13.0, 26, 12, 0, 14
5.25, 7, 0, 7, 7
6.5, 7, 13, 0, 6
8.25, 6, 13, 7, 7
14.75, 18, 21, 7, 13
8.25, 13, 6, 7, 7
21.25, 20, 18, 21, 26
10.25, 9, 8, 15, 9
11.75, 15, 18, 14, 0
6.25, 0, 6, 13, 6
13.0, 13, 6, 20, 13
11.25, 7, 14, 6, 18
5.0, 0, 13, 7, 0
6.75, 6, 14, 7, 0
9.5, 0, 14, 6, 18
11.0, 18, 13, 13, 0
7.0, 0, 14, 7, 7
6.25, 0, 13, 0, 12
14.75, 20, 20, 6, 13
17.25, 14, 21, 13, 21
8.0, 13, 6, 0, 13
6.75, 7, 14, 0, 6
6.5, 6, 0, 13, 7
6.25, 0, 6, 7, 12
10.0, 14, 13, 0, 13
10.0, 13, 7, 20, 0
10.0, 13, 0, 20, 7
9.75, 20, 0, 13, 6
9.75, 12, 0, 7, 20
8.0, 6, 0, 13, 13
15.0, 23, 8, 21, 8
13.75, 14, 21, 13, 7
5.5, 15, 0, 0, 7
8.25, 20, 0, 6, 7
7.0, 0, 7, 14, 7
8.5, 7, 6, 14, 7
6.75, 0, 7, 7, 13
8.25, 0, 12, 14, 7
9.5, 13, 18, 0, 7
11.75, 15, 13, 12, 7
8.25, 7, 7, 6, 13
5.25, 0, 14, 7, 0
12.25, 7, 7, 14, 21
25.75, 28, 26, 21, 28
11.25, 0, 7, 18, 20
10.25, 0, 14, 20, 7
9.0, 0, 18, 12, 6
13.0, 20, 7, 7, 18
6.5, 13, 6, 0, 7
5.0, 0, 14, 6, 0
8.75, 0, 14, 7, 14
8.5, 7, 7, 13, 7
11.0, 7, 7, 17, 13
9.75, 12, 0, 14, 13
19.25, 8, 28, 15, 26
20.5, 26, 21, 21, 14
8.5, 0, 13, 14, 7
11.0, 0, 20, 18, 6
10.0, 14, 7, 13, 6
5.5, 7, 15, 0, 0
10.25, 14, 6, 14, 7
6.75, 0, 13, 7, 7
11.75, 7, 20, 13, 7
11.0, 18, 13, 13, 0
9.75, 0, 18, 14, 7
11.25, 6, 6, 20, 13
10.75, 18, 0, 7, 18
5.25, 14, 0, 7, 0
10.25, 6, 13, 7, 15
11.75, 7, 7, 13, 20
8.25, 0, 6, 14, 13
8.5, 20, 0, 14, 0
11.25, 18, 20, 7, 0
14.75, 14, 6, 14, 25
12.75, 25, 0, 13, 13
8.5, 7, 6, 7, 14
10.0, 20, 7, 13, 0
7.75, 6, 13, 6, 6
6.25, 0, 13, 12, 0
6.5, 13, 0, 13, 0
8.5, 0, 7, 7, 20
17.25, 47, 14, 0, 8
10.0, 13, 20, 7, 0
7.25, 15, 0, 14, 0
8.75, 0, 14, 14, 7
6.75, 0, 14, 13, 0
7.75, 14, 6, 0, 11
11.5, 20, 20, 0, 6
11.75, 13, 6, 14, 14
8.0, 6, 13, 7, 6
9.5, 17, 0, 7, 14
10.0, 20, 6, 7, 7
12.0, 0, 29, 13, 6
25.0, 30, 25, 7, 38
7.5, 14, 8, 0, 8
8.25, 20, 6, 7, 0
6.75, 14, 0, 13, 0
8.0, 0, 7, 12, 13
9.25, 0, 18, 6, 13
6.25, 6, 7, 6, 6
11.0, 6, 14, 18, 6
14.5, 14, 13, 18, 13
8.5, 0, 7, 20, 7
8.0, 13, 6, 6, 7
10.5, 14, 7, 7, 14
22.25, 28, 20, 26, 15
8.0, 13, 0, 6, 13
8.0, 18, 0, 7, 7
13.25, 6, 26, 14, 7
13.5, 20, 21, 6, 7
6.75, 0, 13, 14, 0
6.5, 0, 13, 13, 0
7.0, 7, 7, 7, 7
10.5, 18, 7, 0, 17
8.75, 21, 7, 7, 0
6.5, 6, 0, 20, 0
14.75, 13, 0, 31, 15
19.5, 15, 14, 20, 29
8.25, 20, 0, 7, 6
3.75, 15, 0, 0, 0
8.75, 14, 0, 6, 15
6.75, 7, 0, 7, 13
10.0, 0, 6, 20, 14
8.5, 0, 0, 20, 14
8.75, 14, 0, 7, 14
9.5, 12, 13, 6, 7
9.5, 6, 13, 6, 13
9.0, 23, 6, 7, 0
15.25, 20, 13, 13, 15
16.25, 28, 7, 15, 15
3.25, 0, 6, 7, 0
10.75, 18, 12, 0, 13
8.75, 7, 14, 0, 14
6.5, 6, 7, 7, 6
7.75, 13, 12, 6, 0
9.25, 0, 17, 13, 7
9.75, 13, 6, 20, 0
9.25, 6, 0, 13, 18
7.0, 0, 7, 7, 14
7.0, 7, 0, 14, 7
15.0, 20, 13, 7, 20
22.0, 7, 21, 37, 23
12.0, 14, 20, 0, 14
6.75, 7, 7, 6, 7
6.75, 13, 7, 0, 7
13.75, 6, 18, 14, 17
8.5, 20, 0, 14, 0
8.25, 0, 12, 14, 7
1.75, 0, 7, 0, 0
6.5, 6, 7, 0, 13
10.25, 13, 7, 7, 14
8.75, 7, 7, 14, 7
11.5, 13, 7, 6, 20
15.5, 14, 7, 20, 21
6.5, 7, 13, 0, 6
9.75, 13, 12, 7, 7
8.0, 0, 13, 12, 7
7.0, 0, 14, 0, 14
6.75, 13, 7, 7, 0
6.25, 13, 6, 0, 6
8.25, 0, 20, 7, 6
7.0, 0, 14, 14, 0
6.25, 13, 0, 12, 0
12.5, 22, 7, 14, 7
16.5, 14, 18, 20, 14
6.0, 16, 0, 8, 0
11.25, 14, 13, 0, 18
6.75, 13, 0, 7, 7
5.25, 0, 7, 14, 0
6.5, 7, 0, 13, 6
10.5, 0, 7, 21, 14
6.75, 6, 0, 14, 7
11.75, 0, 16, 18, 13
8.75, 13, 0, 15, 7
7.0, 0, 0, 14, 14
5.5, 0, 14, 0, 8
14.5, 14, 15, 14, 15
16.75, 35, 14, 0, 18
8.25, 13, 7, 7, 6
8.5, 7, 13, 7, 7
8.25, 7, 6, 13, 7
5.0, 6, 7, 7, 0
11.5, 12, 13, 14, 7
6.75, 7, 7, 13, 0
